scenario,action_cluster,thrust,turn_rate,fire,drop_mine
aligned_attack,-1,0.18518518518518517,-0.1388888888888889,1.0,0.0
crowded_navigation,0,0.0,0.0,0.7748811948404617,0.0
crowded_navigation,1,0.16019861757921308,0.9999817234559976,0.7610027855153203,0.0
crowded_navigation,2,0.43745270854739077,-0.24709193944493793,0.7550432276657061,0.0
crowded_navigation,3,0.9999959205056219,0.0,0.8075174295240982,0.0
crowded_navigation,4,0.1060761482484879,0.0766132313718078,0.3978494623655914,1.0
crowded_navigation,5,0.6260668530794242,-0.11414480313146223,0.7218110579016108,0.0
evasive_close,-1,0.1,-0.5333333333333333,1.0,0.0
imminent_collision,-1,0.0,0.8,1.0,0.0
low_threat,-1,1.0,-0.06666666666666667,1.0,0.0
