dist,ttc,heading_err,approach_speed,ammo,mines,threat_density,threat_angle,session_id,thrust,turn_rate
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.4,59.99999999999999,20251209-213524,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.4,59.99999999999999,20251209-213524,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.4,59.99999999999999,20251209-213524,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.4,59.99999999999999,20251209-213524,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.4,59.99999999999999,20251209-213524,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.4,59.99999999999999,20251209-213524,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.4,59.99999999999999,20251209-213524,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.4,59.99999999999999,20251209-213524,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.4,59.99999999999999,20251209-213524,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.4,59.99999999999999,20251209-213524,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.6,59.99999999999999,20251209-213524,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.6,59.99999999999999,20251209-213524,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.6,59.99999999999999,20251209-213524,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.6,59.99999999999999,20251209-213524,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.5,59.99999999999999,20251209-213524,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.5,59.99999999999999,20251209-213524,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.5,59.99999999999999,20251209-213524,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.4,59.99999999999999,20251209-213524,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.4,59.99999999999999,20251209-213524,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.4,59.99999999999999,20251209-213524,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.3,59.99999999999999,20251209-213524,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.3,59.99999999999999,20251209-213524,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.3,59.99999999999999,20251209-213524,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.3,59.99999999999999,20251209-213524,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.3,59.99999999999999,20251209-213524,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.3,59.99999999999999,20251209-213524,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.3,59.99999999999999,20251209-213524,0.0,0.2520751953125
279.99999999999994,279999999.99999994,55.462646484375,0.0,0,0,2.3,59.99999999999999,20251209-213524,0.333343505859375,1
279.99816176724516,2529.422150218994,-175.53731090700163,-0.11069649316663227,0,0,2.3,-164.99995739137663,20251209-213524,0.318878173828125,1
279.9981216878772,279998121.6878772,178.46268972683322,-0.0,0,0,2.3,-164.99995675754175,20251209-213524,0.2816162109375,1
279.9897035828394,556.3929674492492,172.46252272059758,-0.503222937677368,0,0,2.3,-165.00012376377742,20251209-213524,0.25164794921875,1
279.98877774459385,279988777.74459386,166.46249690805507,-0.0,0,0,2.3,-165.00014957631993,20251209-213524,0.234405517578125,1
279.9744969476987,322.9855594575751,175.4629651346977,-0.8668328621808679,0,0,2.3,-149.99968134967733,20251209-213524,0.227142333984375,1
279.9716486910568,279971648.69105685,169.4629148397998,-0.0,0,0,2.3,-149.9997316445752,20251209-213524,0.2244873046875,1
279.95639796461313,308.8391734890608,163.46210547851086,-0.9064795595774034,0,0,2.3,-150.00054100586414,20251209-213524,0.22198486328125,1
279.95313523316406,279953135.2331641,157.46190169651652,-0.0,0,0,2.3,-150.00074478785845,20251209-213524,0.219512939453125,1
279.93773087717625,292.6969936694728,166.46373864991983,-0.9564079472346582,0,0,2.3,-134.9989078344552,20251209-213524,0.17083740234375,0.462890625
279.9337958379642,279933795.83796424,160.46353737529114,-0.0,0,0,2.3,-134.9991091090839,20251209-213524,0.0,0.0
279.9337958379642,279933795.83796424,160.46353737529114,-0.0,0,0,2.3,-134.9991091090839,20251209-213524,0.0,0.0
279.9337958379642,279933795.83796424,160.46353737529114,-0.0,0,0,2.3,-134.9991091090839,20251209-213524,0.0,0.0
279.9337958379642,279933795.83796424,160.46353737529114,-0.0,0,0,2.3,-134.9991091090839,20251209-213524,0.0,0.0
279.9337958379642,279933795.83796424,160.46353737529114,-0.0,0,0,2.3,-134.9991091090839,20251209-213524,0.0,0.33740234375
279.9337958379642,279933795.83796424,154.46353737529114,-0.0,0,0,2.3,-134.9991091090839,20251209-213524,0.0,0.633209228515625
279.9337958379642,279933795.83796424,148.46353737529114,-0.0,0,0,2.3,-134.9991091090839,20251209-213524,0.0,1
279.9337958379642,279933795.83796424,142.46353737529114,-0.0,0,0,2.3,-134.9991091090839,20251209-213524,0.181121826171875,1
279.9178564754702,302.13314865044487,136.460647099923,-0.9264718476797236,0,0,2.3,-135.001999384452,20251209-213524,0.198272705078125,1
