run_name,snapshot,train_avg,all_avg,total_hits,total_deaths,stock_reward,stock_hits,stock_deaths,donut_ring_reward,donut_ring_hits,donut_ring_deaths,vertical_wall_left_reward,vertical_wall_left_hits,vertical_wall_left_deaths,spiral_arms_reward,spiral_arms_hits,spiral_arms_deaths,crossing_lanes_reward,crossing_lanes_hits,crossing_lanes_deaths,asteroid_rain_reward,asteroid_rain_hits,asteroid_rain_deaths,four_corner_reward,four_corner_hits,four_corner_deaths,sniper_practice_reward,sniper_practice_hits,sniper_practice_deaths,episodes_logged,last_episode,reward_mean,reward_max,std_final,entropy_final,ratio_final
foundation,best,419.5,307.7,384,21,443.0,66,3,615.0,91,0,201.0,31,3,249.0,38,3,524.0,82,9,160.0,25,3,249.0,40,0,22.0,11,0,500,500,318.49698302599995,655.925135,0.20958,-0.272966,1.000017
motion,best,472.6,329.0,410,24,550.0,82,3,827.0,126,9,41.0,8,3,265.0,40,3,440.0,67,0,90.0,15,3,397.0,61,3,22.0,11,0,500,500,302.346101908,1057.300173,0.223669,0.0,1.0
