dist,ttc,heading_err,approach_speed,ammo,mines,threat_density,threat_angle,thrust,turn_rate
570.087712549569,19.150808657135663,-142.12501634890182,-29.768336301410027,0,0,0.1,-142.12501634890182,0.0,0.0
569.0954481895823,19.117997079478105,-142.13750400257018,-29.76752459076732,0,0,0.1,-142.13750400257018,0.0,0.0
568.1032109574835,19.08518735305051,-142.15003527818703,-29.766708623202476,0,0,0.1,-142.15003527818703,0.0,0.0
567.1110009956644,19.05237948772286,-142.16261040351776,-29.765888369014714,0,0,0.1,-142.16261040351776,0.0,0.0
566.1188184475111,19.019573493435416,-142.17522960790768,-29.76506379824481,0,0,0.1,-142.17522960790768,0.0,0.0
565.1266634574126,18.986769380199355,-142.18789312229575,-29.764234880672415,0,0,0.1,-142.18789312229575,0.0,0.0
564.1345361707695,18.953967158097395,-142.20060117922807,-29.763401585813316,0,0,0.1,-142.20060117922807,0.0,0.0
563.1424367340031,18.921166837284446,-142.2133540128722,-29.76256388291669,0,0,0.1,-142.2133540128722,0.0,0.0
562.1503652945644,18.888368427988265,-142.2261518590309,-29.761721740962308,0,0,0.1,-142.2261518590309,0.0,0.0
561.1583220009427,18.855571940510092,-142.2389949551566,-29.76087512865769,0,0,0.1,-142.2389949551566,0.0,0.0
560.1663070026751,18.822777385225326,-142.2518835403656,-29.760024014435285,0,0,0.1,-142.2518835403656,0.0,0.0
559.1743204503554,18.789984772584162,-142.2648178554526,-29.75916836644955,0,0,0.1,-142.2648178554526,0.0,0.0
558.1823624956438,18.757194113112323,-142.27779814290554,-29.758308152574017,0,0,0.1,-142.27779814290554,0.0,0.0
557.190433291276,18.724405417411692,-142.29082464692016,-29.757443340398332,0,0,0.1,-142.29082464692016,0.0,0.0
556.1985329910727,18.691618696161015,-142.30389761341522,-29.75657389722527,0,0,0.1,-142.30389761341522,0.0,0.0
555.2066617499496,18.658833960116624,-142.31701729004746,-29.755699790067663,0,0,0.1,-142.31701729004746,0.0,0.0
554.2148197239266,18.62605122011311,-142.33018392622702,-29.754820985645342,0,0,0.1,-142.33018392622702,0.0,0.0
553.223007070138,18.593270487064053,-142.34339777313284,-29.753937450382026,0,0,0.1,-142.34339777313284,0.0,0.0
552.2312239468423,18.560491771962745,-142.35665908372826,-29.753049150402155,0,0,0.1,-142.35665908372826,0.0,0.0
551.2394705134321,18.5277150858829,-142.36996811277675,-29.75215605152771,0,0,0.1,-142.36996811277675,0.0,0.0
550.2477469304445,18.494940439979416,-142.38332511685806,-29.751258119274965,0,0,0.1,-142.38332511685806,0.0,0.0
549.2560533595711,18.46216784548912,-142.3967303543841,-29.750355318851213,0,0,0.1,-142.3967303543841,0.0,0.0
548.2643899636685,18.42939731373149,-142.4101840856154,-29.749447615151485,0,0,0.1,-142.4101840856154,0.0,0.0
547.2727569067686,18.396628856109444,-142.42368657267747,-29.748534972755163,0,0,0.1,-142.42368657267747,0.0,0.0
546.2811543540895,18.363862484110104,-142.4372380795775,-29.74761735592259,0,0,0.1,-142.4372380795775,0.0,0.0
545.2895824720458,18.33109820930558,-142.45083887222108,-29.746694728591635,0,0,0.1,-142.45083887222108,0.0,0.0
544.2980414282598,18.29833604335374,-142.46448921842935,-29.74576705437421,0,0,0.1,-142.46448921842935,0.0,0.0
543.3065313915719,18.265575997999015,-142.47818938795606,-29.74483429655275,0,0,0.1,-142.47818938795606,0.0,0.0
542.3150525320523,18.232818085073234,-142.49193965250493,-29.743896418076613,0,0,0.1,-142.49193965250493,0.0,0.0
541.3236050210115,18.200062316496375,-142.50574028574718,-29.74295338155851,0,0,0.1,-142.50574028574718,0.0,0.0
540.3321890310124,18.167308704277453,-142.51959156333942,-29.74200514927081,0,0,0.1,-142.51959156333942,0.0,0.0
539.3408047358805,18.13455726051529,-142.53349376294136,-29.741051683141848,0,0,0.1,-142.53349376294136,0.0,0.0
538.3494523107167,18.10180799739942,-142.5474471642341,-29.740092944752163,0,0,0.1,-142.5474471642341,0.0,0.0
537.3581319319084,18.0690609272109,-142.5614520489383,-29.73912889533069,0,0,0.1,-142.5614520489383,0.0,0.0
536.3668437771407,18.036316062323163,-142.57550870083278,-29.73815949575094,0,0,0.1,-142.57550870083278,0.0,0.0
535.3755880254097,18.003573415202936,-142.58961740577334,-29.737184706527046,0,0,0.1,-142.58961740577334,0.0,0.0
534.3843648570331,17.970832998411073,-142.60377845171138,-29.736204487809875,0,0,0.1,-142.60377845171138,0.0,0.0
533.3931744536634,17.93809482460346,-142.6179921287133,-29.73521879938298,0,0,0.1,-142.6179921287133,0.0,0.0
532.4020169982997,17.905358906531937,-142.63225872897965,-29.73422760065857,0,0,0.1,-142.63225872897965,0.0,0.0
531.4108926753,17.872625257045154,-142.64657854686487,-29.733230850673426,0,0,0.1,-142.64657854686487,0.0,0.0
530.4198016703947,17.83989388908957,-142.6609518788968,-29.732228508084688,0,0,0.1,-142.6609518788968,0.0,0.0
529.4287441706979,17.8071648157103,-142.67537902379692,-29.731220531165718,0,0,0.1,-142.67537902379692,0.0,0.0
528.4377203647217,17.774438050052147,-142.6898602825002,-29.730206877801766,0,0,0.1,-142.6898602825002,0.0,0.0
527.4467304423882,17.74171360536047,-142.7043959581759,-29.729187505485708,0,0,0.1,-142.7043959581759,0.0,0.0
526.4557745950431,17.708991494982197,-142.71898635624788,-29.72816237131364,0,0,0.1,-142.71898635624788,0.0,0.0
525.464853015469,17.67627173236681,-142.7336317844157,-29.727131431980453,0,0,0.1,-142.7336317844157,0.0,0.0
524.4739658978984,17.643554331067282,-142.7483325526756,-29.726094643775347,0,0,0.1,-142.7483325526756,0.0,0.0
523.4831134380281,17.61083930474111,-142.76308897334178,-29.7250519625773,0,0,0.1,-142.76308897334178,0.0,0.0
522.4922958330322,17.578126667151327,-142.7779013610681,-29.72400334385042,0,0,0.1,-142.7779013610681,0.0,0.0
521.5015132815766,17.54541643216752,-142.79277003286984,-29.722948742639307,0,0,0.1,-142.79277003286984,0.0,0.0
520.5107659838324,17.51270861376684,-142.80769530814567,-29.721888113564333,0,0,0.1,-142.80769530814567,0.0,0.0
519.5200541414907,17.480003226035084,-142.82267750870002,-29.720821410816825,0,0,0.1,-142.82267750870002,0.0,0.0
518.5293779577769,17.44730028316772,-142.83771695876564,-29.719748588154236,0,0,0.1,-142.83771695876564,0.0,0.0
517.5387376374647,17.414599799470967,-142.85281398502633,-29.71866959889522,0,0,0.1,-142.85281398502633,0.0,0.0
516.5481333868917,17.381901789362892,-142.86796891664002,-29.717584395914653,0,0,0.1,-142.86796891664002,0.0,0.0
515.5575654139735,17.349206267374488,-142.88318208526215,-29.716492931638566,0,0,0.1,-142.88318208526215,0.0,0.0
514.5670339282192,17.31651324815078,-142.89845382506905,-29.715395158039072,0,0,0.1,-142.89845382506905,0.0,0.0
513.5765391407464,17.283822746451968,-142.913784472782,-29.714291026629144,0,0,0.1,-142.913784472782,0.0,0.0
512.5860812642966,17.251134777154522,-142.9291743676912,-29.713180488457393,0,0,0.1,-142.9291743676912,0.0,0.0
511.595660513251,17.21844935525239,-142.9446238516802,-29.71206349410272,0,0,0.1,-142.9446238516802,0.0,0.0
510.605277103646,17.185766495858093,-142.96013326925055,-29.710939993668944,0,0,0.1,-142.96013326925055,0.0,0.0
509.61493125318907,17.15308621420393,-142.97570296754674,-29.709809936779365,0,0,0.1,-142.97570296754674,0.0,0.0
508.6246231812751,17.12040852564318,-142.99133329638133,-29.70867327257117,0,0,0.1,-142.99133329638133,0.0,0.0
507.63435310900275,17.087733445651295,-143.00702460826065,-29.707529949689846,0,0,0.1,-143.00702460826065,0.0,0.0
506.64412125919034,17.055060989827094,-143.02277725841037,-29.70637991628353,0,0,0.1,-143.02277725841037,0.0,0.0
505.6539278563934,17.02239117389404,-143.03859160480178,-29.705223119997193,0,0,0.1,-143.03859160480178,0.0,0.0
504.66377312692083,16.989724013701444,-143.05446800817808,-29.704059507966836,0,0,0.1,-143.05446800817808,0.0,0.0
503.67365729885233,16.957059525225755,-143.0704068320811,-29.70288902681355,0,0,0.1,-143.0704068320811,0.0,0.0
502.68358060205554,16.924397724571833,-143.08640844287825,-29.701711622637543,0,0,0.1,-143.08640844287825,0.0,0.0
501.6935432682035,16.891738627974217,-143.10247320978993,-29.700527241012036,0,0,0.1,-143.10247320978993,0.0,0.0
500.7035455307924,16.859082251798473,-143.1186015049171,-29.699335826977112,0,0,0.1,-143.1186015049171,0.0,0.0
499.71358762515933,16.826428612542493,-143.13479370326922,-29.69813732503347,0,0,0.1,-143.13479370326922,0.0,0.0
498.7236697885005,16.79377772683783,-143.15105018279257,-29.696931679136092,0,0,0.1,-143.15105018279257,0.0,0.0
497.73379225988947,16.761129611451082,-143.16737132439866,-29.695718832687824,0,0,0.1,-143.16737132439866,0.0,0.0
496.7439552802956,16.728484283285237,-143.18375751199346,-29.694498728532874,0,0,0.1,-143.18375751199346,0.0,0.0
495.75415909260295,16.695841759381075,-143.20020913250647,-29.693271308950212,0,0,0.1,-143.20020913250647,0.0,0.0
494.7644039416289,16.663202056918568,-143.21672657592035,-29.692036515646915,0,0,0.1,-143.21672657592035,0.0,0.0
493.7746900741439,16.630565193218324,-143.23331023530088,-29.690794289751334,0,0,0.1,-143.23331023530088,0.0,0.0
492.7850177388903,16.597931185743008,-143.24996050682728,-29.68954457180627,0,0,0.1,-143.24996050682728,0.0,1.0
491.79538718660217,16.5653000520988,-149.2666777898229,-29.688287301762,0,0,0.1,-143.2666777898229,0.0,1.0
490.80579867002535,16.532671810036895,-155.28346248678616,-29.6870224189692,0,0,0.1,-143.28346248678616,0.0,1.0
489.81625244393734,16.50004647745497,-161.30031500342196,-29.68574986217181,0,0,0.1,-143.30031500342196,0.0,1.0
488.8267487651678,16.467424072398728,-167.31723574867354,-29.684469569499758,0,0,0.1,-143.31723574867354,0.0,1.0
487.837287892619,16.43480461306341,-173.33422513475446,-29.683181478461595,0,0,0.1,-143.33422513475446,0.0,1.0
486.84787008728665,16.402188117795344,-179.35128357718114,-29.68188552593707,0,0,0.1,-143.35128357718114,0.0,1.0
485.85849561228116,16.36957460509354,174.63158850519415,-29.68058164816952,0,0,0.1,-143.36841149480583,0.0,1.0
484.8691647328489,16.33696409361126,168.61439069015012,-29.679269780758226,0,0,0.1,-143.38560930984985,0.0,1.0
