dist,ttc,heading_err,approach_speed,ammo,mines,threat_density,threat_angle,thrust,turn_rate
478.7820265721418,1530.6063101759378,4.4654560839105955,-0.31280547021729416,0,0,4.0,15.243671660883573,70.94192971527806,-0.8504089955617072
478.77661678126293,40622.91499274481,4.493853720222347,-0.011785875456420883,0,0,4.0,15.243722330676599,72.10695321460918,-0.8838458775758409
478.77660795481523,478776607.95481527,4.523315332499436,-0.0,0,0,4.0,15.243722413701173,-60.0,2.523163418876548
478.76553060043295,720.3093125645952,4.439313455271218,-0.6646665845480079,0,0,4.0,15.243825983768842,69.42077600974294,-0.8035617173906513
478.7492350239569,1529.1970977576225,4.466250657127205,-0.3130722885401647,0,0,4.0,15.243977795045128,70.94848790443082,-0.8492966747516542
478.7438127015101,39014.42405420409,4.49461134599315,-0.012270943998465149,0,0,4.0,15.244028594752685,72.11911902111828,-0.8826915161401284
478.74380311879554,478743803.1187956,4.524034486691221,-0.0,0,0,4.0,15.244028684912754,-60.0,2.5214862277043903
478.7327257758392,720.2607137711656,4.44008854043534,-0.6646658864250337,0,0,4.0,15.244132279580352,69.428905945079,-0.8026047913179697
478.71642571324855,1527.7754107279172,4.466993923083834,-0.3133421459409151,0,0,4.0,15.244284169184905,70.95514861698376,-0.848242791207974
478.71099070151126,37509.37148059434,4.495319613374988,-0.01276243700722031,0,0,4.0,15.24433509976914,72.13093540797281,-0.8815926750266537
478.71098032020757,478710980.3202076,4.524706133572124,-0.0,0,0,4.0,15.244335197465384,-60.0,2.519890693352766
478.69990298793385,720.2120389451073,4.440813395260449,-0.664665233434704,0,0,4.0,15.244438815598814,69.43712668341071,-0.8016969486512654
478.6835983878503,1526.3413282675526,4.467688593628623,-0.31361504109383703,0,0,4.0,15.24459078234526,70.96190580800763,-0.8472364822345768
478.6781505324722,36098.99036548106,4.495980872121038,-0.0132601534194208,0,0,4.0,15.244641844763194,72.14239639824255,-0.8805364799502927
478.6781393093124,478678139.30931246,4.525332193761443,-0.0,0,0,4.0,15.244641950405255,-60.0,2.5183872744502662
478.66706198700336,720.1632892312387,4.441489591783835,-0.6646646241826237,0,0,4.0,15.244745590909316,69.44545641812526,-0.8008345684867093
478.65075278800384,1524.891989084973,4.468336120246505,-0.3138915780357815,0,0,4.0,15.24489763375578,70.96868097211355,-0.8462771443553533
478.6452919579706,34779.98793136186,4.496596553394539,-0.013762089075550423,0,0,4.0,15.244948828758641,72.15352007847993,-0.8795249425272
478.6452798519229,478645279.8519229,4.525914165455333,-0.0,0,0,4.0,15.24494894273518,-60.0,2.5169737586719547
478.6342025388833,720.1144657998619,4.4421187019814,-0.6646640572721224,0,0,4.0,15.245052604550326,69.45384054169048,-0.8000214729025021
478.6178887098256,1523.4362861596942,4.468938202087941,-0.31416994137400667,0,0,4.0,15.245204722226768,70.97557072059851,-0.845367292092912
478.6124147811144,33540.60930589143,4.497168440115075,-0.014269639839161952,0,0,4.0,15.245256050517488,72.16439070469804,-0.8785689254525211
478.612401747583,478612401.74758303,4.526454193696793,-0.0,0,0,4.0,15.245256173250764,-60.0,2.5156439111593727
478.60132444315224,720.0655706365778,4.442703078777498,-0.6646635306004732,0,0,4.0,15.245359855370124,69.4623275813354,-0.7992466985914278
478.58500592606333,1521.9664595011918,4.469496826957908,-0.31445174296607986,0,0,4.0,15.245512046930834,70.98249655016336,-0.8445047126806238
