dist,ttc,heading_err,approach_speed,ammo,mines,threat_density,threat_angle,fire,drop_mine
133.64505228402584,3.990613519832683,-166.58764235813157,33.48985102662341,0,0,1.0,-76.58764235813159,0.0,0.0
134.20860746240993,3.931868121792799,-163.545889263913,34.13354754157302,0,0,1.0,-76.545889263913,0.0,0.0
134.7827147134422,3.878058867590626,-160.50606267182212,34.755200814468424,0,0,1.0,-76.50606267182214,0.0,0.0
135.36696212043776,3.8293890345706543,-157.46860935536768,35.34949332605871,0,0,1.0,-76.46860935536766,0.0,0.0
135.96085052066758,3.7860209645164447,-154.43395279917547,35.9112777755135,0,0,1.0,-76.43395279917549,0.0,0.0
136.56379657285572,3.748086483640373,-151.4024909037414,36.43560445281309,0,0,1.0,-76.40249090374142,0.0,0.0
137.17513626587328,3.715696330996625,-148.37459391026425,36.917746781820604,0,0,1.0,-76.37459391026425,0.0,0.0
137.7941288368301,3.6889486589044544,-145.35060255525264,37.35322488271015,0,0,1.0,-76.35060255525262,0.0,0.0
138.4199610645409,3.6679367077707417,-142.33082646109423,37.737827038097464,0,0,1.0,-76.33082646109423,0.0,0.0
139.05175190271027,3.652755782745838,-139.31554276534996,38.06762898289979,0,0,1.0,-76.31554276534997,0.0,0.0
139.68855741614342,3.643509675180793,-136.30499498826464,38.33901097276817,0,0,1.0,-76.30499498826462,0.0,0.0
140.32937598281342,3.640316681442895,-133.29939213493566,38.54867261910624,0,0,1.0,-76.29939213493567,0.0,0.0
140.97315372467725,3.6433153782290435,-130.29890802580724,38.69364550954741,0,0,1.0,-76.29890802580725,0.0,0.0
141.6187901306869,3.652670319518082,-127.30368084670152,38.77130366076167,0,0,1.0,-76.30368084670152,0.0,0.0
142.26514383643075,3.668577827775988,-124.31381290749209,38.779371875197896,0,0,1.0,-76.31381290749209,0.0,0.0
142.91103852621887,3.691272062808664,-121.32937059678727,38.71593209455247,0,0,1.0,-76.32937059678727,0.0,0.0
143.55526892512026,3.7210315675272865,-118.35038451862624,38.57942786024687,0,0,1.0,-76.35038451862624,0.0,0.0
144.19660685042044,3.758186512755478,-115.37684979620026,38.36866700495299,0,0,1.0,-76.37684979620026,0.0,0.0
144.82056861599628,3.961429806043087,-112.39662511504912,36.5576510771629,0,0,1.0,-76.39662511504912,0.0,0.0
145.4169326981329,4.147737450091796,-109.39705786581841,35.05933884385922,0,0,1.0,-76.39705786581841,0.0,0.0
145.99102685305039,4.308117584411591,-106.37746610469522,33.88742855610568,0,0,1.0,-76.37746610469522,0.0,0.0
146.5503224769089,4.384720974774785,-103.34036451283512,33.42295286747094,0,0,1.0,-76.34036451283512,0.0,0.0
147.10649009858844,4.4137879962006945,-100.29797336478694,33.328852728136226,0,0,1.0,-76.29797336478694,0.0,0.0
147.66167689572865,4.433563180260427,-97.2515977290625,33.30541843931837,0,0,1.0,-76.2515977290625,0.0,0.0
148.21706775283874,4.443831806913232,-94.20123787902986,33.35343779714135,0,0,1.0,-76.20123787902986,0.0,0.0
148.77385732735306,4.4445537952337935,-91.1469307347713,33.473294324144234,0,0,1.0,-76.1469307347713,0.0,0.0
149.33324324498054,4.4358658145752505,-88.08874964725898,33.66495955632953,0,0,1.0,-76.08874964725898,0.0,0.0
149.89641918192257,4.418075798267281,-85.02680400108176,33.927987211244826,0,0,1.0,-76.02680400108176,0.0,0.0
150.46456786683186,4.391650292754336,-81.96123862666086,34.2615094182429,0,0,1.0,-75.96123862666086,0.0,0.0
151.03885403831404,4.357195629816373,-78.89223301443624,34.6642351802504,0,0,1.0,-75.89223301443624,0.0,0.0
151.61104473162115,4.458167411265566,-79.38751118187605,34.007481268762504,0,0,1.0,-75.83212283259786,0.0,0.0
152.1730500295005,4.537535291918368,-79.878360232464,33.53649949577916,0,0,1.0,-75.79234744227962,0.0,0.0
152.73359763896565,4.530001371858197,-76.84224428996845,33.7160157583605,0,0,1.0,-75.75623149978406,0.0,0.0
153.292591567749,4.5815658336695115,-77.46702895389842,33.458559176693626,0,0,1.0,-75.72312837821245,0.0,0.0
153.8491354605519,4.616085224986357,-78.06514890236376,33.32892006148059,0,0,1.0,-75.69459977437272,0.0,0.0
154.4036228118144,4.649074198145908,-78.63761833358154,33.211692528674185,0,0,1.0,-75.67032665070869,0.0,0.0
154.7846120113767,11.60832074691553,71.78702542200426,-13.333936525875618,0,0,1.0,75.32243618819804,0.0,0.0
154.5664059849465,12.01783845947848,68.8588628551257,-12.861414846447685,0,0,1.0,74.78717446871961,0.0,0.0
154.35559809784448,12.402570389746929,66.03037180423902,-12.445452293135025,0,0,1.0,74.25397884633713,0.0,0.0
154.1512871097727,12.75972349909977,63.29811914755223,-12.081083663031448,0,0,1.0,73.72273858312498,0.0,0.0
153.95265330290275,13.08731778421612,60.658769535212514,-11.76349927779521,0,0,1.0,73.19332627570365,0.0,0.0
153.7589555734467,13.384215482236426,58.109085742118054,-11.488081298266312,0,0,1.0,72.66560146711629,0.0,0.0
153.56952800167196,13.650102700842268,55.64592861471661,-11.250430225129081,0,0,1.0,72.13941386445211,0.0,0.0
153.38377605090128,13.88542967055241,53.26625664644712,-11.046383128942033,0,0,1.0,71.61460618333983,0.0,0.0
153.2011725216586,14.091319018144508,50.96712521848781,-10.872024991016884,0,0,1.0,71.09101664359545,0.0,0.0
153.02125336542642,14.269453043382109,48.74568554307385,-10.72369437708719,0,0,1.0,70.56848114213106,0.0,0.0
152.84361344339254,14.421951009351044,46.59918334617117,-10.597984512933813,0,0,1.0,70.04683512999752,0.0,0.0
