dist,ttc,heading_err,approach_speed,ammo,mines,threat_density,threat_angle,session_id,thrust,turn_rate
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.4,59.99999999999999,20251209-174826,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.4,59.99999999999999,20251209-174826,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.4,59.99999999999999,20251209-174826,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.4,59.99999999999999,20251209-174826,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.4,59.99999999999999,20251209-174826,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.4,59.99999999999999,20251209-174826,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.4,59.99999999999999,20251209-174826,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.4,59.99999999999999,20251209-174826,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.4,59.99999999999999,20251209-174826,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.4,59.99999999999999,20251209-174826,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.6,59.99999999999999,20251209-174826,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.6,59.99999999999999,20251209-174826,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.6,59.99999999999999,20251209-174826,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.6,59.99999999999999,20251209-174826,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.5,59.99999999999999,20251209-174826,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.5,59.99999999999999,20251209-174826,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.5,59.99999999999999,20251209-174826,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.4,59.99999999999999,20251209-174826,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.4,59.99999999999999,20251209-174826,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.4,59.99999999999999,20251209-174826,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.3,59.99999999999999,20251209-174826,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.3,59.99999999999999,20251209-174826,0.0,0.0
279.99999999999994,279999999.99999994,60.0,0.0,0,0,2.3,59.99999999999999,20251209-174826,0.58526611328125,0.0
279.96966044108075,153.79791841296452,0.0,-1.82037353515625,0,0,2.3,0.0,20251209-174826,0.90997314453125,0.0
279.837151421441,45.64918411823924,0.0,-6.130167643229167,0,0,2.3,0.0,20251209-174826,0.91363525390625,0.57769775390625
279.56108645895665,26.853422973706383,-6.003224093583867,-10.410631327435977,0,0,2.3,-0.003224093583880702,20251209-174826,0.298675537109375,0.999969482421875
279.22279646101777,28.289535945883316,-12.014199945847423,-9.870179454168465,0,0,2.3,-0.014199945847421609,20251209-174826,0.0,0.999969482421875
278.9407709559543,39.51012568303091,-18.029573104301335,-7.059981868793594,0,0,2.3,-0.02957310430133175,20251209-174826,0.0,0.999969482421875
278.7510714625025,64.15382202411715,-24.044393679475547,-4.345042316539028,0,0,2.3,-0.044393679475560645,20251209-174826,0.0,0.999969482421875
278.649100306873,153.9460353975395,-30.054918980776762,-1.810044016965484,0,0,2.3,-0.05491898077677354,20251209-174826,-0.2528076171875,0.999969482421875
278.63552865288614,278635528.65288615,-36.056593399292495,0.0,0,0,2.3,-0.05659339929250109,20251209-174826,-0.53857421875,0.846221923828125
278.654178992251,256.6195926786687,-42.053369218826816,1.0858647856291055,0,0,2.3,-0.053369218826825104,20251209-174826,-0.918304443359375,0.0
278.7445120748064,64.30762854228803,-42.03662145737138,4.334548146049374,0,0,2.3,-0.036621457371381026,20251209-174826,-0.884918212890625,-0.346221923828125
278.94963253299164,34.64141458134696,-36.0027842687179,8.052489654484118,0,0,2.3,-0.002784268717912397,20251209-174826,-0.180877685546875,-0.99993896484375
279.19630319810625,45.52998332217239,-45.01109980575632,6.132141565317508,0,0,2.3,-15.011099805756315,20251209-174826,0.0,-0.978302001953125
279.3702407745421,79.14227399624441,-54.01122270123746,3.5299749004912244,0,0,2.3,-30.011222701237457,20251209-174826,0.0,-0.92926025390625
279.46764065908894,124.99518174817214,-47.986307540538775,2.2358273075048007,0,0,2.3,-29.986307540538782,20251209-174826,0.381805419921875,-0.933868408203125
279.48382183880216,4891.220508099815,-57.00913754773029,-0.05713989409718487,0,0,2.3,-45.00913754773029,20251209-174826,0.613067626953125,-0.967254638671875
279.46046244697976,161.50497853721185,-35.98616417072918,-1.7303519989174214,0,0,2.3,-29.986164170729182,20251209-174826,0.718658447265625,-0.890380859375
279.36052776468216,64.75459198751376,-29.99926635275179,-4.314142351766336,0,0,2.3,-29.999266352751786,20251209-174826,0.871795654296875,-0.478668212890625
279.15250437370315,33.96301345109155,-24.0207536188297,-8.219309066190396,0,0,2.3,-30.020753618829676,20251209-174826,0.92572021484375,0.472503662109375
278.7900050608141,21.491552760333906,-14.991215723022265,-12.972073640735983,0,0,2.3,-14.99121572302225,20251209-174826,0.849395751953125,0.676605224609375
278.30391269717563,17.259649760334934,-21.02395993808102,-16.124539985553852,0,0,2.3,-15.023959938081006,20251209-174826,0.744476318359375,0.769012451171875
